station,mm,tmax (degC),tmin (degC),af (days),rain (mm),sun (hours),Latitude,Longitude,lat_group
aberporth,1.0,7.337349397590362,3.0734939759036144,5.220588235294118,90.19285714285714,55.57831325301205,52.139,-4.57,0
aberporth,2.0,7.430487804878048,2.7277108433734942,5.029411764705882,65.06666666666668,76.93855421686746,52.139,-4.57,0
aberporth,3.0,9.124691358024691,3.8292682926829267,2.417910447761194,60.6566265060241,123.63292682926829,52.139,-4.57,0
aberporth,4.0,11.195,5.309756097560975,0.582089552238806,52.81204819277108,172.32073170731707,52.139,-4.57,0
aberporth,5.0,13.942682926829269,7.7682926829268295,0.0,56.59879518072289,209.87530864197532,52.139,-4.57,0
aberporth,6.0,16.398780487804878,10.345121951219513,0.0,57.72289156626506,204.40123456790124,52.139,-4.57,0
aberporth,7.0,17.946341463414633,12.18048780487805,0.0,61.531325301204824,187.8451219512195,52.139,-4.57,0
aberporth,8.0,18.03048780487805,12.362195121951219,0.0,72.60481927710843,172.60365853658536,52.139,-4.57,0
aberporth,9.0,16.454878048780486,11.029268292682927,0.0,81.25180722891565,135.54268292682926,52.139,-4.57,0
aberporth,10.0,13.60740740740741,8.757317073170732,0.014925373134328348,104.92168674698796,98.02195121951219,52.139,-4.57,0
aberporth,11.0,10.165432098765432,5.840243902439025,0.8208955223880597,107.62891566265061,60.37682926829269,52.139,-4.57,0
aberporth,12.0,8.270731707317074,4.06219512195122,3.7761194029850746,103.83855421686748,48.165853658536584,52.139,-4.57,0
armagh,1.0,7.1201257861635225,1.6773584905660377,8.522012578616353,75.44476744186046,46.90105263157895,54.352,-6.649,1
armagh,2.0,7.89182389937107,1.7465408805031446,7.70440251572327,57.69825581395349,66.27157894736843,54.352,-6.649,1
armagh,3.0,9.707594936708862,2.427848101265823,6.677215189873417,58.30058479532163,101.30106382978724,54.352,-6.649,1
armagh,4.0,12.406918238993711,3.90125786163522,2.8238993710691824,54.738596491228066,144.78936170212768,54.352,-6.649,1
