yyyy,mm,tmax (degC),tmin (degC),af (days),rain (mm),sun (hours)
1961,7,14.4,8.7,0.0,94.05714285714286,144.72307692307692
1961,8,15.9,8.7,0.0,107.52857142857144,142.43461538461537
1961,9,15.8,8.5,0.0,102.81428571428572,106.94615384615382
1961,10,12.1,5.8,0.0,146.87058823529412,83.86923076923077
1961,11,8.911666666666667,3.9728813559322034,2.709090909090909,142.39722222222227,52.892307692307696
1961,12,5.4,0.0,15.0,142.26285714285717,31.119230769230775
1962,1,6.8,0.5,7.0,128.01111111111112,40.724000000000004
1962,2,7.0,1.5,5.0,111.34444444444445,66.808
1962,3,5.3,-1.5,19.0,96.38000000000001,93.45200000000001
1962,4,10.2,2.0,3.0,81.44000000000001,157.17999999999995
1962,5,12.0,4.6,0.0,79.94857142857144,187.57692307692304
1962,6,15.1,7.3,0.0,84.74571428571429,169.60384615384615
1962,7,15.4,8.5,0.0,94.05714285714286,144.72307692307692
1962,8,15.3,8.8,0.0,107.52857142857144,142.43461538461537
1962,9,13.5,7.8,0.0,102.81428571428572,106.94615384615382
1962,10,12.3,7.0,0.0,146.87058823529412,83.86923076923077
1962,11,8.1,3.0,2.0,142.39722222222227,52.892307692307696
1962,12,6.5,2.0,6.0,142.26285714285717,31.119230769230775
1963,1,2.6,-1.4,22.0,128.01111111111112,40.724000000000004
1963,2,3.1,-1.6,20.0,111.34444444444445,66.808
1963,3,8.6,2.1,6.0,96.38000000000001,93.45200000000001
1963,4,9.6,3.7,2.0,81.44000000000001,157.17999999999995
1963,5,11.8,4.6,0.0,79.94857142857144,187.57692307692304
1963,6,16.0,8.7,0.0,84.74571428571429,169.60384615384615
1963,7,16.1,9.1,0.0,94.05714285714286,144.72307692307692
1963,8,14.9,9.1,0.0,107.52857142857144,142.43461538461537
1963,9,14.4,8.3,0.0,102.81428571428572,106.94615384615382
1963,10,12.6,7.3,0.0,146.87058823529412,83.86923076923077
1963,11,9.1,3.9,4.0,142.39722222222227,52.892307692307696
1963,12,6.1,1.8,7.0,142.26285714285717,31.119230769230775
1964,1,7.1,2.9,0.0,128.01111111111112,40.724000000000004
1964,2,6.5,2.0,8.0,111.34444444444445,66.808
1964,3,6.3,2.0,6.0,96.38000000000001,93.45200000000001
1964,4,10.9,4.2,2.0,81.44000000000001,157.17999999999995
1964,5,14.8,6.7,0.0,79.94857142857144,187.57692307692304
1964,6,14.2,8.3,0.0,84.74571428571429,169.60384615384615
1964,7,15.8,9.6,0.0,94.05714285714286,144.72307692307692
1964,8,16.0,9.4,0.0,107.52857142857144,142.43461538461537
1964,9,15.1,9.0,0.0,102.81428571428572,106.94615384615382
1964,10,11.4,6.0,0.0,146.87058823529412,83.86923076923077
1964,11,9.8,3.9,3.0,142.39722222222227,52.892307692307696
1964,12,6.3,0.8,10.0,142.26285714285717,31.119230769230775
1965,1,5.1,0.3,13.0,128.01111111111112,40.724000000000004
1965,2,6.0,0.5,10.0,111.34444444444445,66.808
1965,3,7.2,1.2,9.0,96.38000000000001,93.45200000000001
1965,4,10.0,3.2,1.0,81.44000000000001,157.17999999999995
1965,5,12.8,6.0,2.0,79.94857142857144,161.0
1965,6,15.4,8.3,0.0,84.74571428571429,148.7
1965,7,14.1,8.2,0.0,94.05714285714286,160.8
1965,8,15.3,8.4,0.0,107.52857142857144,160.9
1965,9,13.7,7.4,0.0,102.81428571428572,100.0
1965,10,12.4,7.4,0.0,146.87058823529412,88.0
1965,11,6.3,1.9,10.0,142.39722222222227,61.9
1965,12,6.6,1.3,6.0,142.26285714285717,37.4
1966,1,5.3,1.4,11.0,128.01111111111112,30.4
1966,2,6.0,1.7,9.0,111.34444444444445,41.6
1966,3,9.0,3.0,4.0,96.38000000000001,103.1
1966,4,8.4,2.7,6.0,81.44000000000001,108.3
1966,5,12.8,5.7,0.0,79.94857142857144,204.3
1966,6,15.7,9.5,0.0,84.74571428571429,107.9
1966,7,15.7,9.1,0.0,94.05714285714286,166.4
1966,8,15.3,8.6,0.0,107.52857142857144,164.8
1966,9,15.2,8.7,0.0,102.81428571428572,100.6
1966,10,10.9,5.4,1.0,146.87058823529412,94.2
1966,11,7.5,2.5,2.0,142.39722222222227,54.0
1966,12,7.2,2.2,5.0,142.26285714285717,31.0
1967,1,7.0,2.4,3.0,128.01111111111112,52.6
1967,2,7.1,2.1,2.0,111.34444444444445,73.8
1967,3,7.9,2.3,4.0,96.38000000000001,99.6
1967,4,9.5,3.1,5.0,81.44000000000001,127.6
1967,5,10.8,4.7,2.0,79.94857142857144,172.6
1967,6,15.5,7.3,0.0,84.74571428571429,189.9
1967,7,17.0,9.3,0.0,94.05714285714286,119.8
1967,8,15.9,9.0,0.0,107.52857142857144,133.7
1967,9,15.0,8.2,0.0,102.81428571428572,126.3
1967,10,11.4,5.4,0.0,146.87058823529412,94.1
1967,11,8.4,3.0,0.0,142.39722222222227,53.0
1967,12,7.0,2.6,8.0,142.26285714285717,33.9
1968,1,6.9,1.9,6.0,128.01111111111112,30.4
1968,2,4.3,-1.1,18.0,111.34444444444445,87.2
1968,3,7.9,1.8,8.0,96.38000000000001,86.3
1968,4,10.4,2.8,7.0,81.44000000000001,202.4
1968,5,10.6,3.8,1.0,79.94857142857144,164.9
1968,6,16.3,7.3,0.0,84.74571428571429,218.8
1968,7,15.3,7.9,0.0,94.05714285714286,183.8
1968,8,17.2,8.4,0.0,107.52857142857144,213.6
1968,9,14.6,8.8,0.0,102.81428571428572,112.7
1968,10,13.8,8.4,0.0,146.87058823529412,66.3
1968,11,8.4,4.0,2.0,142.39722222222227,41.4
1968,12,6.4,1.8,10.0,142.26285714285717,34.4
1969,1,6.6,2.3,6.0,128.01111111111112,25.3
1969,2,3.2,-1.4,18.0,111.34444444444445,48.8
1969,3,5.4,-0.4,15.0,96.38000000000001,97.7
1969,4,9.5,2.2,5.0,81.44000000000001,195.3
1969,5,12.0,5.3,1.0,79.94857142857144,163.7
1969,6,15.8,7.3,0.0,84.74571428571429,228.1
1969,7,17.8,10.1,0.0,94.05714285714286,148.6
1969,8,16.4,10.7,0.0,107.52857142857144,111.3
1969,9,14.8,8.8,0.0,102.81428571428572,74.3
1969,10,14.7,9.1,0.0,146.87058823529412,74.0
1969,11,6.6,1.2,9.0,142.39722222222227,40.4
1969,12,6.5,1.7,8.0,142.26285714285717,27.0
1970,1,6.4,1.8,9.0,128.01111111111112,34.7
1970,2,4.7,-1.0,18.0,111.34444444444445,79.5
1970,3,6.2,0.7,13.0,96.38000000000001,94.6
1970,4,8.8,2.4,4.0,81.44000000000001,127.0
1970,5,13.7,6.8,0.0,79.94857142857144,117.4
1970,6,17.6,9.4,0.0,84.74571428571429,195.6
1970,7,14.8,8.6,0.0,94.05714285714286,75.2
1970,8,17.2,10.0,0.0,107.52857142857144,148.8
1970,9,15.1,8.7,0.0,102.81428571428572,82.6
1970,10,12.1,6.7,0.0,146.87058823529412,45.1
1970,11,8.7,3.7,2.0,142.39722222222227,35.7
1970,12,7.1,2.9,1.0,142.26285714285717,24.4
1971,1,7.2,2.1,8.0,128.01111111111112,47.0
1971,2,7.3,2.3,7.0,111.34444444444445,45.6
1971,3,7.9,1.9,6.0,96.38000000000001,83.3
1971,4,9.5,3.1,3.0,81.44000000000001,117.6
1971,5,13.1,5.6,0.0,79.94857142857144,175.8
1971,6,13.5,7.0,0.0,84.74571428571429,158.9
1971,7,16.9,9.5,0.0,94.05714285714286,127.0
1971,8,15.9,9.4,0.0,107.52857142857144,95.8
1971,9,16.6,8.7,1.0,102.81428571428572,117.5
1971,10,13.4,7.8,1.0,146.87058823529412,83.8
1971,11,9.0,3.7,6.0,142.39722222222227,35.1
1971,12,8.7,4.5,1.0,142.26285714285717,18.3
1972,1,5.7,1.5,8.0,128.01111111111112,35.1
1972,2,6.3,1.3,5.0,111.34444444444445,58.5
1972,3,7.9,1.8,6.0,96.38000000000001,91.4
1972,4,10.2,3.7,0.0,81.44000000000001,140.3
1972,5,11.7,5.3,0.0,79.94857142857144,114.6
1972,6,12.7,5.9,0.0,84.74571428571429,130.6
1972,7,16.6,8.8,0.0,94.05714285714286,142.6
1972,8,14.9,8.9,0.0,107.52857142857144,78.1
1972,9,13.7,6.9,0.0,102.81428571428572,93.7
1972,10,12.4,7.1,0.0,146.87058823529412,78.8
1972,11,7.8,2.7,5.0,142.39722222222227,32.1
1972,12,8.1,2.7,7.0,142.26285714285717,37.3
1973,1,7.2,3.2,4.0,128.01111111111112,21.4
1973,2,6.4,1.8,8.0,111.34444444444445,53.8
1973,3,9.1,2.9,7.0,96.38000000000001,105.8
1973,4,8.5,3.8,2.0,81.44000000000001,133.8
1973,5,11.9,6.2,0.0,79.94857142857144,130.2
1973,6,16.5,8.1,0.0,84.74571428571429,167.9
1973,7,16.4,10.1,0.0,94.05714285714286,126.5
1973,8,17.0,10.3,0.0,107.52857142857144,124.6
1973,9,15.1,8.6,0.0,102.81428571428572,121.6
1973,10,11.2,5.8,0.0,146.87058823529412,76.1
1973,11,8.3,2.9,6.0,142.39722222222227,36.9
1973,12,7.5,1.9,6.0,142.26285714285717,32.1
1974,1,8.1,2.5,5.0,128.01111111111112,39.6
1974,2,7.1,1.9,6.0,111.34444444444445,59.3
1974,3,7.6,2.0,5.0,96.38000000000001,100.7
