yyyy,mm,tmax (degC),tmin (degC),af (days),rain (mm),sun (hours)
1971,6,16.698076923076925,9.359615384615383,0.0,71.4,168.72105263157897
1971,7,18.047058823529408,11.192156862745096,0.0,50.1,141.89444444444445
1971,8,17.93846153846154,11.16153846153846,0.0,83.0,140.74736842105264
1971,9,15.837254901960783,9.701960784313727,0.0392156862745098,75.3,101.16499999999999
1971,10,12.905999999999997,7.497999999999999,0.38,270.7,74.46842105263157
1971,11,9.733999999999998,4.579999999999999,3.18,132.8,45.099999999999994
1971,12,7.988235294117648,2.9843137254901957,5.96078431372549,179.8,32.95555555555555
1972,1,6.5,2.7,5.0,176.8,34.08888888888889
1972,2,7.1,2.4,2.0,71.8,54.57222222222222
1972,3,9.1,3.3,3.0,74.9,82.45263157894736
1972,4,11.0,4.8,0.0,187.9,135.22631578947366
1972,5,13.5,7.0,0.0,114.5,195.85555555555553
1972,6,14.0,7.4,0.0,132.2,168.72105263157897
1972,7,17.8,9.9,0.0,74.6,141.89444444444445
1972,8,16.1,10.1,0.0,74.6,140.74736842105264
1972,9,15.1,7.3,0.0,30.2,101.16499999999999
1972,10,13.7,7.9,1.0,96.7,74.46842105263157
1972,11,8.8,3.2,7.0,174.4,45.099999999999994
1972,12,9.0,4.2,2.0,204.6,32.95555555555555
1973,1,7.3,3.8,1.0,128.1,34.08888888888889
1973,2,7.0,2.2,8.0,150.8,54.57222222222222
1973,3,9.4,3.3,5.0,114.8,82.45263157894736
1973,4,10.2,3.8,1.0,41.6,135.22631578947366
1973,5,13.5,6.8,0.0,87.0,195.85555555555553
1973,6,15.6,8.8,0.0,117.0,168.72105263157897
1973,7,17.6,11.2,0.0,80.7,141.89444444444445
1973,8,17.9,11.2,0.0,131.4,140.74736842105264
1973,9,15.6,9.3,0.0,116.6,101.16499999999999
1973,10,12.2,6.4,2.0,65.6,74.46842105263157
1973,11,8.6,3.6,5.0,202.6,45.099999999999994
1973,12,7.7,3.0,3.0,211.0,32.95555555555555
1974,1,8.7,3.8,0.0,321.1,34.08888888888889
1974,2,8.0,3.7,0.0,121.0,54.57222222222222
1974,3,8.9,2.8,4.0,61.9,82.45263157894736
1974,4,14.0,3.9,0.0,16.2,135.22631578947366
1974,5,14.718,7.3,1.0,71.8,195.85555555555553
1974,6,16.8,8.3,0.0,82.4,168.72105263157897
1974,7,15.9,10.2,0.0,120.4,141.89444444444445
1974,8,16.9,10.7,0.0,138.5,140.74736842105264
1974,9,14.0,8.0,2.0,155.4,101.16499999999999
1974,10,10.9,5.4,0.0,82.1,74.46842105263157
1974,11,8.9,3.7,2.0,210.2,45.099999999999994
1974,12,9.1,4.6,0.0,306.5,32.95555555555555
1975,1,8.5,3.0,3.0,295.1,34.08888888888889
1975,2,7.9,2.9,3.0,45.6,54.57222222222222
1975,3,8.0,1.8,7.0,69.0,82.45263157894736
1975,4,10.4,4.9,2.0,97.2,135.22631578947366
1975,5,14.4,4.1,1.0,37.9,195.85555555555553
1975,6,17.1,8.1,0.0,70.2,168.72105263157897
1975,7,18.2,11.2,0.0,116.3,141.89444444444445
1975,8,19.4,11.7,0.0,81.9,140.74736842105264
1975,9,14.5,8.6,0.0,204.5,101.16499999999999
1975,10,12.9,7.7,0.0,112.8,74.46842105263157
1975,11,9.3,4.3,1.0,185.8,45.099999999999994
1975,12,9.2,4.4,3.0,129.3,32.95555555555555
1976,1,8.0,3.0,7.0,201.0,34.08888888888889
1976,2,7.7,2.6,6.0,129.8,54.57222222222222
1976,3,7.6,2.9,2.0,125.8,82.45263157894736
1976,4,11.4,4.4,0.0,84.4,135.22631578947366
1976,5,13.5,7.0,0.0,126.1,195.85555555555553
1976,6,16.9,10.0,0.0,120.1,168.72105263157897
