Codes,Area names,Region,Location,Total % 0-4,Total % 5-6,Total % 7-8,Total % 9-10,Total Average rating,Total Standard deviation,0-4 CV,0-4 Lower limit,0-4 Upper limit,5-6 CV, 5-6 Lower limit,5-6 Upper limit,7-8 CV,7-8 Lower limit,7-8 Upper limit,9-10 CV,9-10 Lower limit,9-10 Upper limit,Total CV,Total Lower limit,Total Upper limit,Sample size
K02000001,UNITED KINGDOM,,,10.34,18.1,40.62,30.94,7.29,2.18,1,10.14,10.54,0.72,17.84,18.36,0.41,40.29,40.94,0.51,30.63,31.25,0.1,7.28,7.31,165583
E92000001,ENGLAND,,,10.36,18.38,40.56,30.7,7.28,2.18,1.11,10.13,10.58,0.81,18.09,18.67,0.46,40.19,40.92,0.58,30.35,31.05,0.12,7.26,7.3,119934
E12000001,NORTH EAST,,,12.55,18.19,38.58,30.69,7.17,2.33,3.47,11.69,13.4,2.65,17.24,19.13,1.63,37.35,39.81,1.95,29.52,31.86,0.43,7.11,7.23,11016
E06000047,,County Durham UA,,14.79,18.24,35.46,31.51,7.06,2.45,9.38,12.06,17.52,7.83,15.43,21.05,5.16,31.86,39.06,5.77,27.94,35.09,1.38,6.87,7.25,842
E06000005,,Darlington UA,,12.05,16.79,41.21,29.95,7.2,2.35,10.81,9.49,14.61,8.95,13.84,19.75,4.62,37.47,44.95,5.83,26.51,33.38,1.31,7.02,7.39,944
E06000001,,Hartlepool UA,,13.1,19.74,35.68,31.47,7.13,2.38,9.22,10.73,15.48,7.59,16.8,22.69,4.82,32.3,39.06,5.21,28.25,34.69,1.23,6.96,7.31,1049
E06000002,,Middlesbrough UA,,13.88,16.27,37.15,32.69,7.24,2.36,9.73,11.23,16.54,7.82,13.77,18.77,4.73,33.7,40.61,5.41,29.22,36.16,1.21,7.06,7.41,944
E06000048,,Northumberland UA,,10.2,15.26,43.05,31.49,7.38,2.14,12.22,7.75,12.64,8.41,12.74,17.79,4.85,38.95,47.16,5.9,27.84,35.15,1.15,7.22,7.55,860
E06000003,,Redcar and Cleveland UA,,12.2,17.57,36.28,33.94,7.27,2.35,10.06,9.79,14.62,8.09,14.78,20.37,4.52,33.06,39.5,5.01,30.6,37.29,1.2,7.1,7.44,972
E06000004,,Stockton-on-Tees UA,,10.89,19.16,39.26,30.69,7.25,2.23,11.67,8.39,13.39,8.89,15.81,22.52,5.22,35.23,43.29,6.05,27.03,34.34,1.25,7.07,7.43,828
E11000004,,Tyne and Wear (Met County),,12.32,19.11,39.09,29.48,7.12,2.33,4.97,11.12,13.52,3.77,17.7,20.53,2.31,37.32,40.87,2.91,27.79,31.16,0.6,7.04,7.21,4577
E08000020,,,Gateshead,11.5,20.17,38.09,30.24,7.16,2.31,11.58,8.88,14.12,7.15,17.33,23,4.88,34.44,41.75,5.85,26.76,33.71,1.38,6.97,7.36,873
E08000021,,,Newcastle upon Tyne,11.87,18.62,41.19,28.32,7.16,2.18,11.61,9.16,14.58,8.9,15.36,21.88,5.1,37.05,45.32,6.25,24.84,31.81,1.19,6.99,7.33,859
E08000022,,,North Tyneside,11.59,16.86,38.13,33.42,7.32,2.3,10.85,9.11,14.06,8.95,13.9,19.83,5.19,34.24,42.02,6.66,29.04,37.79,1.42,7.12,7.52,903
E08000023,,,South Tyneside,15.83,19.59,35.66,28.92,6.91,2.56,8.18,13.29,18.38,7.24,16.8,22.38,5.12,32.07,39.24,6.02,25.5,32.35,1.38,6.72,7.1,984
E08000024,,,Sunderland,12.11,20.31,39.66,27.92,7.03,2.38,10.06,9.72,14.51,7.16,17.45,23.17,4.34,36.27,43.04,6.36,24.43,31.41,1.29,6.85,7.21,958
E12000002,NORTH WEST ,,,11.3,18.59,39.53,30.58,7.21,2.27,2.71,10.7,11.9,2.01,17.86,19.32,1.19,38.61,40.45,1.53,29.66,31.5,0.31,7.17,7.26,19511
E06000008,,Blackburn with Darwen UA,,12.54,18.4,38.52,30.54,7.19,2.28,10.57,9.93,15.15,8.4,15.36,21.44,5.14,34.63,42.41,5.99,26.94,34.14,1.28,7.01,7.37,853
E06000009,,Blackpool UA,,12.84,19.6,38.63,28.93,7.1,2.37,10.23,10.26,15.43,7.82,16.58,22.61,5.13,34.74,42.53,6.06,25.48,32.37,1.31,6.92,7.29,944
