Codes,Area names,Region,Location,Total % 0-4,Total % 5-6,Total % 7-8,Total % 9-10,Total Average rating,0-4 CV,0-4 Lower limit,0-4 Upper limit,5-6 CV, 5-6 Lower limit,5-6 Upper limit,7-8 CV,7-8 Lower limit,7-8 Upper limit,9-10 CV,9-10 Lower limit,9-10 Upper limit,Total CV,Total Lower limit,Total Upper limit,Sample size
*,,"Eilean Siar, Orkney & Shetland ",,5.04,12.863333333333335,38.586666666666666,43.50666666666667,7.965,19.12666666666667,3.143333333333333,6.94,11.686666666666667,9.9,15.826666666666668,5.69,34.26666666666667,42.906666666666666,5.366666666666667,38.913333333333334,48.10333333333333,1.105,7.795,8.1425,624.0
95A,,,Derry,14.72,21.9,33.83,29.54,7.13,21.05333333333333,6.865,15.719999999999999,17.276666666666667,13.66,29.32,11.376666666666665,28.515,45.535,14.0,21.745,38.64,2.6933333333333334,6.75,7.510000000000001,170.66666666666666
95B,,,Limavady,,,,,7.79,57.446666666666665,-0.775,17.195,51.42333333333334,-1.48,20.744999999999997,19.826666666666668,30.214999999999996,61.845,20.533333333333335,22.185000000000002,50.06,3.923333333333334,7.150000000000001,8.43,49.0
95C,,,Coleraine,,,,,7.236666666666667,45.36333333333334,3.38,28.95,28.62,9.184999999999999,30.244999999999997,17.846666666666668,26.22,54.805,22.486666666666665,12.455,34.760000000000005,4.1066666666666665,6.6433333333333335,7.836666666666666,74.66666666666667
95D,,,Ballymoney,,,,,7.553333333333334,55.99666666666667,-0.10999999999999999,13.629999999999999,34.166666666666664,4.335,22.71,14.066666666666668,33.755,64.215,26.63,13.07,48.4,4.53,6.853333333333333,8.26,65.33333333333333
95E,,,Moyle,,,,,8.023333333333333,65.96666666666667,-2.995,18.97,70.00666666666667,-3.715,19.75,41.62,21.52,67.775,19.849999999999998,21.07,57.629999999999995,5.22,7.033333333333332,9.016666666666667,25.666666666666668
95F,,,Larne,,,,,7.56,43.106666666666676,1.02,19.655,37.68,4.984999999999999,36.084999999999994,22.53333333333333,17.715,51.135,18.783333333333335,19.665,49.745,3.926666666666667,6.95,8.173333333333334,57.666666666666664
95G,,,Ballymena,,,,,7.640000000000001,49.63666666666666,2.675,15.455,35.660000000000004,5.9399999999999995,23.015,14.473333333333334,31.330000000000002,56.73,19.773333333333333,19.495,45.364999999999995,4.010000000000001,7.016666666666667,8.26,109.33333333333333
95H,,,Magherafelt,,,,,7.503333333333333,77.18333333333334,3.3549999999999995,18.48,38.73,6.465,27.395,14.373333333333335,32.175,57.379999999999995,21.766666666666666,14.9,39.855000000000004,3.5033333333333334,6.97,8.043333333333333,65.0
95I,,,Cookstown,,,,,7.346666666666667,35.199999999999996,3.405,19.65,45.666666666666664,-0.6700000000000002,18.485,16.830000000000002,37.89,73.25,27.913333333333338,9.22,38.765,3.9000000000000004,6.756666666666667,7.94,51.333333333333336
95J,,,Strabane,,,,,7.513333333333333,35.20666666666667,3.745,19.355,31.98,5.875,25.54,22.30666666666667,21.755,50.745000000000005,19.336666666666666,20.285,52.695,4.626666666666666,6.786666666666666,8.236666666666666,58.0
95K,,,Omagh,,,,,7.573333333333333,52.32333333333333,0.9299999999999999,19.29,32.53,8.24,28.17,15.479999999999999,29.595,52.46,15.126666666666667,20.384999999999998,40.94,3.66,7.010000000000001,8.13,77.33333333333333
95L,,,Fermanagh,,,,,8.043333333333333,56.99666666666667,0.09500000000000008,6.4350000000000005,38.02,3.095,20.53,13.58,37.084999999999994,61.370000000000005,14.796666666666667,23.619999999999997,47.765,2.3299999999999996,7.66,8.42,103.66666666666667
