Codes,Area names,Region,Location,Total % 0-4,Total % 5-6,Total % 7-8,Total % 9-10,Total Average rating,0-4 CV,0-4 Lower limit,0-4 Upper limit,5-6 CV, 5-6 Lower limit,5-6 Upper limit,7-8 CV,7-8 Lower limit,7-8 Upper limit,9-10 CV,9-10 Lower limit,9-10 Upper limit,Total CV,Total Lower limit,Total Upper limit,Sample size
*,,"Eilean Siar, Orkney & Shetland ",,4.52,12.63,40.01,42.84,7.99,18.92,2.84,6.2,10.84,9.93,15.32,5.45,35.72,44.31,5.62,38.1,47.58,1.07,7.82,8.16,652
95A,,,Derry,14.72,21.9,33.83,29.54,7.18,22.49,4.36,11.37,15.26,13.86,28.29,11.04,30.92,49.51,13.93,21.82,39.87,2.39,6.84,7.52,160
95B,,,Limavady,,,,,7.87,69.05,-0.49,13.02,41.93,-0.18,23.29,26.51,24.27,53.45,24.19,28.3,58.33,4.83,7.08,8.66,54
95C,,,Coleraine,,,,,6.62,23.98,9.19,26.47,24.88,10.35,31.27,14.11,34.47,61.98,35.08,3.82,22.46,3.97,6.09,7.15,75
95D,,,Ballymoney,,,,,7.61,47.47,0.19,16.45,32.03,3.39,16.51,13.89,38.34,69.09,26.41,12.78,43.26,3.6,7.05,8.18,63
95E,,,Moyle,,,,,8.17,76.3,-3.52,13.56,83.73,-4.65,15.41,18.9,31.34,76.95,19.4,20.13,50.79,3.5,7.54,8.81,31
95F,,,Larne,,,,,7.97,42.2,2.02,20.3,40.22,3.95,34.01,21.13,17.14,53.04,14.85,17.17,52.37,3.13,7.46,8.48,69
95G,,,Ballymena,,,,,7.33,33.87,3.18,16.7,31.78,5.68,25.71,13.86,34.95,61.91,27.77,11.47,40.41,3.67,6.79,7.87,115
95H,,,Magherafelt,,,,,6.68,27.27,8.11,29,23.01,12.4,34.83,15.51,22.72,44.12,24.99,11.82,37.01,4.28,6.09,7.27,53
95I,,,Cookstown,,,,,7.33,38.38,5.01,28.78,33.78,0.88,18.06,20.21,38.45,71.95,25.07,7.06,29.8,4.23,6.69,7.98,54
95J,,,Strabane,,,,,7.06,28.52,5.49,21.05,21.95,11.22,29.67,20.13,21.4,51.61,20.4,17.29,42.26,3.97,6.48,7.64,61
95K,,,Omagh,,,,,8.11,69.66,2.23,14.69,43.32,7.01,25.84,18.72,32.75,54.22,12.31,20.79,42.48,3.78,7.48,8.73,67
95L,,,Fermanagh,,,,,8.37,54.1,-1.14,4.73,35.4,0.49,14.38,16.25,37.3,59.54,9.54,30.31,54.38,2.51,7.94,8.79,92
95M,,,Dungannon,,,,,7.51,45.26,0.76,16.66,27.19,6.96,23.86,15.24,24.59,46.41,15.21,27.99,52.77,4.35,6.85,8.17,102
95N,,,Craigavon,,,,,7.58,22.62,1.73,15.44,27.1,8.92,20.23,14.21,20.38,38.34,12.11,37.86,57.11,3.04,7.12,8.04,133
95O,,,Armagh,,,,,7.82,37.11,1.78,10.44,28.4,6.72,22.78,14.13,27.82,50.46,13.85,27.67,52.33,3.65,7.25,8.4,105
95P,,,Newry and Mourne,,,,,7.6,28.23,3.27,11.84,29.95,3.03,12.17,9.89,48.54,72.59,18.92,15.06,33.5,1.93,7.3,7.89,149
95Q,,,Banbridge,,,,,7.34,32.23,4.07,19.44,30.86,6.22,27.05,15.87,25.11,48.93,16.67,22.89,46.29,3.33,6.84,7.84,83
95R,,,Down,,,,,7.59,41.76,1.69,18.94,31.24,4.78,20.78,14.8,24.01,44.25,12.82,31.79,53.77,3.56,7.05,8.13,121
95S,,,Lisburn,,,,,7.65,24.99,4.44,13.24,23.15,6.3,17.07,10.98,31.31,48.83,11.15,30.66,48.15,2.29,7.3,8,173
95T,,,Antrim,,,,,7.49,40.63,1.87,20.12,22.57,7.47,20.25,14.12,25.86,46.82,15.96,26.16,51.45,4.05,6.87,8.11,76
95U,,,Newtownabbey,,,,,7.89,42.29,1.17,9.59,25.59,7.08,20.92,15.07,37.16,59.08,11.04,22.72,42.28,2.41,7.51,8.27,96
95V,,,Carrickfergus,,,,,7.98,33.34,2.63,14.1,36.99,2.74,20.12,21.4,15.95,40.99,14.42,36.4,67.07,4.04,7.32,8.64,73
95W,,,North Down,,,,,7.39,35.55,2.76,16.51,26.01,5.26,16.75,8.96,44.85,64.51,17.79,15.86,33.49,2.93,6.96,7.82,119
95X,,,Ards,,,,,7.17,28.11,5.04,18.11,23.03,9.1,24.75,12.14,32.08,52.78,17.22,19.01,39.12,3.1,6.72,7.62,108
