Codes,Area names,Region,Location,Total % 0-4,Total % 5-6,Total % 7-8,Total % 9-10,Total Average rating,Total Standard deviation,0-4 CV,0-4 Lower limit,0-4 Upper limit,5-6 CV, 5-6 Lower limit,5-6 Upper limit,7-8 CV,7-8 Lower limit,7-8 Upper limit,9-10 CV,9-10 Lower limit,9-10 Upper limit,Total CV,Total Lower limit,Total Upper limit,Sample size
K02000001,UNITED KINGDOM,,,10.88,18.04,39.32,31.76,7.28,2.24,0.97,10.67,11.09,0.71,17.78,18.29,0.42,39,39.64,0.5,31.46,32.07,0.1,7.27,7.3,165543
E92000001,ENGLAND,,,10.84,18.18,39.37,31.6,7.28,2.23,1.09,10.61,11.08,0.8,17.89,18.46,0.47,39.01,39.73,0.56,31.26,31.95,0.12,7.26,7.29,120367
E12000001,NORTH EAST,,,12.16,18.78,38.59,30.47,7.18,2.33,3.49,11.33,12.99,2.79,17.75,19.81,1.58,37.39,39.79,2.01,29.27,31.67,0.43,7.12,7.24,10715
E06000047,,County Durham UA,,13.33,21.38,34.37,30.91,7.09,2.46,10.13,10.68,15.99,7.86,18.08,24.69,5.03,30.97,37.77,5.88,27.34,34.49,1.42,6.89,7.29,843
E06000005,,Darlington UA,,12.32,14.78,37.07,35.83,7.36,2.3,10.94,9.67,14.98,9,12.17,17.4,5.08,33.36,40.77,5.5,31.95,39.7,1.23,7.18,7.54,882
E06000001,,Hartlepool UA,,12.89,17.42,38.25,31.44,7.21,2.3,8.93,10.63,15.16,8.08,14.65,20.19,4.57,34.81,41.68,5.46,28.06,34.81,1.15,7.04,7.37,1009
E06000002,,Middlesbrough UA,,13.77,16.34,38.91,30.98,7.11,2.49,10.13,11.03,16.51,9.09,13.42,19.26,4.47,35.49,42.33,5.85,27.42,34.54,1.38,6.91,7.3,977
E06000048,,Northumberland UA,,8.7,19.17,44.65,27.48,7.25,2.09,11.86,6.68,10.73,8.23,16.06,22.27,4.19,40.98,48.33,6.45,23.99,30.96,1.1,7.1,7.41,815
E06000003,,Redcar and Cleveland UA,,12.26,18.05,38.09,31.6,7.26,2.33,9.86,9.88,14.63,8.02,15.2,20.9,4.53,34.7,41.49,5.53,28.16,35.03,1.19,7.09,7.43,966
E06000004,,Stockton-on-Tees UA,,12.32,17.21,39.61,30.86,7.21,2.31,10.04,9.89,14.76,9.3,14.06,20.36,4.88,35.8,43.41,6.05,27.19,34.54,1.29,7.03,7.39,866
E11000004,,Tyne and Wear (Met County),,12.26,18.6,38.85,30.29,7.18,2.32,5.08,11.04,13.48,3.91,17.17,20.02,2.38,37.04,40.66,3,28.51,32.08,0.62,7.09,7.26,4357
E08000020,,,Gateshead,14.12,17.5,39.1,29.27,7.06,2.42,10.68,11.16,17.09,8.88,14.44,20.56,5.08,35.2,43.01,6.85,25.33,33.22,1.45,6.86,7.26,833
E08000021,,,Newcastle upon Tyne,9.74,20.16,40.03,30.08,7.28,2.18,13.02,7.24,12.23,8.55,16.76,23.55,4.98,36.1,43.95,6.51,26.23,33.93,1.29,7.1,7.47,799
E08000022,,,North Tyneside,10.95,17.1,41.54,30.4,7.28,2.16,11.58,8.45,13.44,8.64,14.2,20.01,4.88,37.55,45.53,6.25,26.67,34.14,1.2,7.11,7.45,866
E08000023,,,South Tyneside,13.19,20.31,38.33,28.16,7.04,2.39,9.5,10.73,15.66,7.97,17.12,23.49,5.12,34.47,42.2,6.18,24.74,31.59,1.28,6.87,7.22,952
E08000024,,,Sunderland,14.3,17.66,35.81,32.23,7.13,2.46,9.93,11.5,17.09,7.56,15.03,20.29,5.48,31.96,39.67,6.19,28.3,36.16,1.39,6.94,7.33,907
E12000002,NORTH WEST ,,,11.44,18.97,38.44,31.15,7.23,2.28,2.6,10.86,12.02,1.95,18.24,19.7,1.2,37.53,39.34,1.43,30.28,32.02,0.3,7.18,7.27,19942
E06000008,,Blackburn with Darwen UA,,13.61,18.41,38.53,29.44,7.02,2.45,10.49,10.81,16.42,8.18,15.45,21.38,5.04,34.71,42.35,6.62,25.61,33.27,1.57,6.8,7.24,858
E06000009,,Blackpool UA,,17.88,18.67,32.55,30.9,6.9,2.57,8.04,15.06,20.71,7.14,16.05,21.29,4.91,29.41,35.69,6.02,27.24,34.56,1.48,6.7,7.1,1028
E06000049,,Cheshire East UA,,x,x,x,x,7.51,2.03,21.3,4.3,10.52,11.03,13.37,20.8,5.46,38.02,47.18,7.05,28.33,37.49,1.75,7.25,7.77,514
E06000050,,Cheshire West and Chester UA,,8.59,18.46,39.38,33.57,7.46,2.18,16.8,5.74,11.44,11.72,14.19,22.73,6.75,34.13,44.62,7.24,28.78,38.37,1.64,7.22,7.7,434
E06000006,,Halton UA,,10.61,19.29,39.62,30.48,7.21,2.32,11.32,8.25,12.97,8.02,16.25,22.33,5.05,35.69,43.55,6.02,26.88,34.09,1.26,7.03,7.39,857
E06000007,,Warrington UA,,11.2,19.09,35.87,33.84,7.26,2.32,11.45,8.68,13.72,9.87,15.38,22.79,5.71,31.84,39.9,5.94,29.89,37.8,1.35,7.07,7.45,752
E10000006,,Cumbria ,,7.08,19.13,40.31,33.48,7.52,2.04,13.43,5.21,8.95,8.13,16.08,22.19,4.51,36.73,43.88,5.94,29.57,37.39,1.1,7.36,7.69,874
E07000026,,,Allerdale,x,x,x,x,7.75,2.07,29.2,2.86,10.84,18.69,10.41,22.79,8.77,30.11,42.88,11.3,31.02,49.09,2.42,7.37,8.12,193
E07000027,,,Barrow-in-Furness,x,x,x,x,7.45,2.18,34.54,2.21,12.39,22.85,10.44,28.34,12.7,30.89,52.19,16.23,21.35,42.18,3.29,6.96,7.95,115
E07000028,,,Carlisle,x,x,x,x,7.37,2.08,31.96,2.53,11.33,15.4,16.88,31.77,10.38,30.4,46.2,12.84,22.67,38.22,2.39,7.02,7.72,175
E07000029,,,Copeland,x,x,x,x,7.55,1.91,42.48,0.67,9.11,19.55,13.61,31.56,11.48,30.79,49.52,16.48,21.53,43.21,2.52,7.17,7.94,119
E07000030,,,Eden,x,x,x,x,8.05,1.61,118.1,-1.25,3.01,25.59,7.44,23.73,13.94,27.84,49.98,14.5,31.41,57.84,2.55,7.63,8.47,90
E07000031,,,South Lakeland,x,x,x,x,7.26,2.08,22.5,6.53,17.14,20.22,8.81,20.71,9.2,37.57,54.42,15.29,19.06,35.76,2.64,6.88,7.64,182
E11000001,,Greater Manchester (Met County),,12.48,19.5,38.83,29.19,7.13,2.28,3.63,11.59,13.37,2.79,18.43,20.56,1.72,37.52,40.14,2.12,27.98,30.4,0.44,7.06,7.19,8561
E08000001,,,Bolton,12.43,16.92,40.57,30.08,7.21,2.29,10.91,9.76,15.1,9.33,13.81,20.02,5.07,36.52,44.61,6.41,26.29,33.88,1.33,7.02,7.4,768
E08000002,,,Bury,12.15,19.14,38.05,30.65,7.17,2.31,12.59,9.14,15.16,8.94,15.77,22.51,5.34,34.06,42.05,6.49,26.74,34.57,1.65,6.94,7.41,750
E08000003,,,Manchester,13.14,22.09,39.04,25.72,6.98,2.22,10.04,10.55,15.73,7.05,19.03,25.16,4.97,35.23,42.86,6.7,22.33,29.11,1.21,6.81,7.14,1049
