Codes,Area names,Region,Location,Total % 0-4,Total % 5-6,Total % 7-8,Total % 9-10,Total Average rating,0-4 CV,0-4 Lower limit,0-4 Upper limit,5-6 CV, 5-6 Lower limit,5-6 Upper limit,7-8 CV,7-8 Lower limit,7-8 Upper limit,9-10 CV,9-10 Lower limit,9-10 Upper limit,Total CV,Total Lower limit,Total Upper limit,Sample size
K02000001,UNITED KINGDOM,,,9.68,17.05,40.66,32.6,7.38,1.03,9.49,9.88,0.75,16.8,17.3,0.41,40.33,40.99,0.5,32.28,32.92,0.1,7.37,7.4,166238
E92000001,ENGLAND,,,9.71,17.23,40.66,32.39,7.37,1.16,9.49,9.93,0.83,16.95,17.52,0.46,40.29,41.03,0.56,32.04,32.75,0.11,7.36,7.39,120709
E12000001,NORTH EAST,,,11.58,17.48,38.59,32.35,7.29,3.64,10.76,12.41,2.98,16.46,18.5,1.65,37.34,39.84,1.89,31.15,33.54,0.42,7.23,7.35,11049
E06000047,,County Durham UA,,12.97,19.87,36.72,30.43,7.17,10.88,10.19,15.75,8.4,16.59,23.16,5.28,32.91,40.54,5.75,26.99,33.88,1.37,6.98,7.36,808
E06000005,,Darlington UA,,10.39,17.13,38.8,33.68,7.35,11.2,8.1,12.68,8.77,14.18,20.08,4.92,35.05,42.56,5.79,29.84,37.51,1.21,7.18,7.53,950
E06000001,,Hartlepool UA,,10.95,16.56,37.02,35.47,7.41,11.35,8.51,13.39,7.77,14.03,19.09,4.49,33.75,40.29,4.96,32.02,38.92,1.17,7.24,7.58,1111
E06000002,,Middlesbrough UA,,12.69,17.15,36.46,33.7,7.27,10.19,10.15,15.23,7.91,14.48,19.82,4.78,33.03,39.88,5.43,30.1,37.29,1.3,7.08,7.45,974
E06000048,,Northumberland UA,,10.14,14.65,40.27,34.94,7.46,10.82,7.99,12.3,9.39,11.95,17.36,4.54,36.67,43.86,5.22,31.36,38.52,1.08,7.3,7.62,929
E06000003,,Redcar and Cleveland UA,,10.37,16.62,35.17,37.85,7.48,11.75,7.97,12.76,9.17,13.62,19.62,5.24,31.54,38.79,5,34.13,41.56,1.2,7.31,7.66,991
E06000004,,Stockton-on-Tees UA,,8.91,16.02,41.92,33.15,7.47,14.17,6.43,11.39,9.81,12.93,19.12,5.19,37.63,46.2,6.29,29.05,37.25,1.19,7.29,7.64,780
E11000004,,Tyne and Wear (Met County),,11.94,17.64,39.19,31.22,7.24,4.83,10.81,13.07,4.27,16.17,19.12,2.36,37.38,41.01,2.9,29.45,33,0.61,7.15,7.32,4506
E08000020,,,Gateshead,12.38,16.2,41.59,29.84,7.22,10.24,9.88,14.87,9.74,13.09,19.3,5.33,37.22,45.95,5.88,26.39,33.3,1.21,7.05,7.4,851
E08000021,,,Newcastle upon Tyne,10.4,18.44,41.83,29.33,7.23,10.77,8.2,12.61,8.49,15.36,21.52,4.67,37.99,45.67,6.73,25.45,33.21,1.19,7.06,7.4,933
E08000022,,,North Tyneside,10.72,18.56,40.11,30.61,7.3,13.4,7.9,13.55,10.72,14.65,22.48,5.26,35.96,44.26,6.16,26.9,34.32,1.42,7.1,7.51,777
E08000023,,,South Tyneside,14.02,17.3,37.59,31.08,7.09,8.04,11.8,16.23,7.94,14.6,20,5.02,33.88,41.31,5.65,27.63,34.54,1.22,6.92,7.26,1024
E08000024,,,Sunderland,13.23,17.16,34.76,34.85,7.28,9.77,10.68,15.77,8.85,14.18,20.15,5.36,31.1,38.42,5.7,30.95,38.76,1.4,7.08,7.48,921
E12000002,NORTH WEST ,,,10.82,17.91,39.93,31.33,7.28,2.78,10.23,11.41,2.12,17.17,18.66,1.18,39.01,40.86,1.45,30.44,32.22,0.3,7.24,7.32,19705
E06000008,,Blackburn with Darwen UA,,12.16,16.53,38.99,32.31,7.26,10.29,9.7,14.63,9.29,13.51,19.55,4.56,35.5,42.48,6.09,28.44,36.19,1.33,7.07,7.45,853
E06000009,,Blackpool UA,,11.14,15.81,38.71,34.33,7.34,10.89,8.75,13.53,8.91,13.04,18.59,5.35,34.64,42.78,5.89,30.36,38.31,1.2,7.17,7.52,863
E06000049,,Cheshire East UA,,8.7,17.58,44.6,29.13,7.34,16.37,5.89,11.5,11.14,13.71,21.44,5.15,40.07,49.13,7.46,24.84,33.42,1.55,7.12,7.57,472
E06000050,,Cheshire West and Chester UA,,9.56,15.4,46.4,28.64,7.31,17.69,6.22,12.9,12.46,11.61,19.18,6.18,40.75,52.06,9.11,23.49,33.79,1.72,7.06,7.55,410
E06000006,,Halton UA,,12.12,20.43,35.68,31.77,7.19,10.36,9.65,14.59,8.42,17.05,23.81,5.4,31.89,39.47,5.58,28.28,35.26,1.24,7.01,7.36,861
E06000007,,Warrington UA,,9.04,15.91,41.63,33.42,7.45,11.66,6.97,11.11,9.05,13.07,18.74,4.67,37.81,45.46,5.82,29.59,37.24,1.1,7.28,7.61,797
E10000006,,Cumbria ,,9.72,17.27,40.16,32.84,7.44,13.08,7.22,12.22,9.34,14.1,20.44,4.46,36.64,43.69,5.76,29.12,36.56,1.2,7.26,7.61,905
E07000026,,,Allerdale,x,x,x,x,7.73,36.45,x,x,16.14,x,x,9.24,x,x,11.65,x,x,2.2,7.4,8.07,194
E07000027,,,Barrow-in-Furness,x,x,x,x,6.68,26.88,x,x,26.76,x,x,16.49,x,x,19.07,x,x,4.79,6.03,7.33,96
E07000028,,,Carlisle,x,x,x,x,7.28,26.22,x,x,20.42,x,x,8.97,x,x,15.8,x,x,2.8,6.87,7.68,191
E07000029,,,Copeland,x,x,x,x,7.53,52.55,x,x,22.36,x,x,13.5,x,x,16.31,x,x,2.55,7.14,7.92,120
E07000030,,,Eden,x,x,x,x,7.66,35.82,x,x,23.4,x,x,14.65,x,x,14.1,x,x,3.08,7.18,8.14,106
E07000031,,,South Lakeland,x,x,x,x,7.7,26.01,x,x,27.25,x,x,9.45,x,x,10.8,x,x,2.3,7.34,8.05,198
E11000001,,Greater Manchester (Met County),,11.2,18.08,40.12,30.61,7.25,3.85,10.35,12.05,3.02,17,19.15,1.71,38.77,41.46,2.17,29.31,31.91,0.43,7.19,7.31,8728
E08000001,,,Bolton,11.95,17.64,39.27,31.15,7.25,12.68,8.97,14.93,8.78,14.59,20.69,5.1,35.33,43.2,6.34,27.26,35.03,1.27,7.07,7.43,850
E08000002,,,Bury,10.08,15.13,40.26,34.54,7.44,12.97,7.51,12.66,9.75,12.22,18.03,5.29,36.06,44.45,6.3,30.25,38.82,1.33,7.25,7.63,692
