Codes,Area names,Region,Location,Total % 0-4,Total % 5-6,Total % 7-8,Total % 9-10,Total Average rating,0-4 CV,0-4 Lower limit,0-4 Upper limit,5-6 CV, 5-6 Lower limit,5-6 Upper limit,7-8 CV,7-8 Lower limit,7-8 Upper limit,9-10 CV,9-10 Lower limit,9-10 Upper limit,Total CV,Total Lower limit,Total Upper limit,Sample size,Area,Latitude_x,Longitude_x,station,mm,tmax (degC),tmin (degC),af (days),rain (mm),sun (hours),Latitude_y,Longitude_y,lat_group
E12000001,NORTH EAST,,,11.765,17.875,38.705,31.66,7.245,3.51,10.9575,12.575,2.7775,16.9,18.8475,1.605,37.485,39.9225,1.91,30.475,32.84,0.4125,7.1875,7.305,11022.5,NORTH EAST,55.0,-1.9,durham,1.0,5.968275862068966,0.4317241379310345,12.537931034482758,52.900689655172414,50.72181818181818,54.768,-1.585,2
E12000001,NORTH EAST,,,11.765,17.875,38.705,31.66,7.245,3.51,10.9575,12.575,2.7775,16.9,18.8475,1.605,37.485,39.9225,1.91,30.475,32.84,0.4125,7.1875,7.305,11022.5,NORTH EAST,55.0,-1.9,durham,2.0,6.622758620689655,0.5365517241379311,11.537931034482758,42.43172413793104,67.72,54.768,-1.585,2
E12000001,NORTH EAST,,,11.765,17.875,38.705,31.66,7.245,3.51,10.9575,12.575,2.7775,16.9,18.8475,1.605,37.485,39.9225,1.91,30.475,32.84,0.4125,7.1875,7.305,11022.5,NORTH EAST,55.0,-1.9,durham,3.0,8.765277777777778,1.4520833333333334,9.180555555555555,44.11180555555556,106.13727272727272,54.768,-1.585,2
E12000001,NORTH EAST,,,11.765,17.875,38.705,31.66,7.245,3.51,10.9575,12.575,2.7775,16.9,18.8475,1.605,37.485,39.9225,1.91,30.475,32.84,0.4125,7.1875,7.305,11022.5,NORTH EAST,55.0,-1.9,durham,4.0,11.418055555555556,3.021527777777778,4.527777777777778,43.56944444444444,137.43,54.768,-1.585,2
E12000001,NORTH EAST,,,11.765,17.875,38.705,31.66,7.245,3.51,10.9575,12.575,2.7775,16.9,18.8475,1.605,37.485,39.9225,1.91,30.475,32.84,0.4125,7.1875,7.305,11022.5,NORTH EAST,55.0,-1.9,durham,5.0,14.590972222222222,5.549305555555556,1.0902777777777777,49.69375,166.9827272727273,54.768,-1.585,2
E12000001,NORTH EAST,,,11.765,17.875,38.705,31.66,7.245,3.51,10.9575,12.575,2.7775,16.9,18.8475,1.605,37.485,39.9225,1.91,30.475,32.84,0.4125,7.1875,7.305,11022.5,NORTH EAST,55.0,-1.9,durham,6.0,17.772916666666667,8.484027777777778,0.0347222222222222,50.86805555555556,172.48545454545456,54.768,-1.585,2
E12000001,NORTH EAST,,,11.765,17.875,38.705,31.66,7.245,3.51,10.9575,12.575,2.7775,16.9,18.8475,1.605,37.485,39.9225,1.91,30.475,32.84,0.4125,7.1875,7.305,11022.5,NORTH EAST,55.0,-1.9,durham,7.0,19.69027777777778,10.5875,0.0,62.95208333333333,160.86818181818182,54.768,-1.585,2
E12000001,NORTH EAST,,,11.765,17.875,38.705,31.66,7.245,3.51,10.9575,12.575,2.7775,16.9,18.8475,1.605,37.485,39.9225,1.91,30.475,32.84,0.4125,7.1875,7.305,11022.5,NORTH EAST,55.0,-1.9,durham,8.0,19.225694444444443,10.422222222222222,0.0,66.87777777777778,151.56272727272727,54.768,-1.585,2
E12000001,NORTH EAST,,,11.765,17.875,38.705,31.66,7.245,3.51,10.9575,12.575,2.7775,16.9,18.8475,1.605,37.485,39.9225,1.91,30.475,32.84,0.4125,7.1875,7.305,11022.5,NORTH EAST,55.0,-1.9,durham,9.0,16.836805555555557,8.509027777777778,0.0833333333333333,54.39861111111111,124.52363636363636,54.768,-1.585,2
E12000001,NORTH EAST,,,11.765,17.875,38.705,31.66,7.245,3.51,10.9575,12.575,2.7775,16.9,18.8475,1.605,37.485,39.9225,1.91,30.475,32.84,0.4125,7.1875,7.305,11022.5,NORTH EAST,55.0,-1.9,durham,10.0,12.881944444444445,5.757638888888889,1.7361111111111112,65.92430555555556,93.83211009174312,54.768,-1.585,2
